investigation_id,incident_id,cause_category,severity,evidence_action_ids,summary,status,created_at
INV0001,INC0001,STALE_DATA,MEDIUM,"ACT000751,ACT000752,ACT000753",A001 acted on an order snapshot for ORD01212 that was 03:32 stale without refreshing delivery/eligibility data before SHIP.,CONFIRMED,2026-06-29 21:32:53
INV0002,INC0002,STALE_DATA,MEDIUM,"ACT000754,ACT000755,ACT000756",A002 acted on an order snapshot for ORD01213 that was 23:28 stale without refreshing delivery/eligibility data before REFUND.,CONFIRMED,2026-05-05 00:28:45
INV0003,INC0003,STALE_DATA,MEDIUM,"ACT000757,ACT000758,ACT000759",A001 acted on an order snapshot for ORD01214 that was 22:33 stale without refreshing delivery/eligibility data before SHIP.,CLOSED,2026-06-06 13:33:05
INV0004,INC0004,STALE_DATA,MEDIUM,"ACT000760,ACT000761,ACT000762",A006 acted on an order snapshot for ORD01215 that was 11:18 stale without refreshing delivery/eligibility data before UPDATE_RECORD.,CONFIRMED,2026-05-14 22:18:23
INV0005,INC0005,STALE_DATA,MEDIUM,"ACT000763,ACT000764,ACT000765",A001 acted on an order snapshot for ORD01216 that was 04:28 stale without refreshing delivery/eligibility data before SHIP.,CLOSED,2026-06-11 23:28:51
INV0006,INC0006,STALE_DATA,MEDIUM,"ACT000766,ACT000767,ACT000768",A006 acted on an order snapshot for ORD01217 that was 06:40 stale without refreshing delivery/eligibility data before REFUND.,CLOSED,2026-05-20 23:40:09
INV0007,INC0007,STALE_DATA,MEDIUM,"ACT000769,ACT000770,ACT000771",A001 acted on an order snapshot for ORD01218 that was 22:51 stale without refreshing delivery/eligibility data before SHIP.,OPEN,2026-07-04 13:51:31
INV0008,INC0008,STALE_DATA,MEDIUM,"ACT000772,ACT000773,ACT000774",A002 acted on an order snapshot for ORD01219 that was 08:37 stale without refreshing delivery/eligibility data before SHIP.,CONFIRMED,2026-05-30 17:37:22
INV0009,INC0009,MISSING_INFORMATION,HIGH,"ACT000775,ACT000776,ACT000777","A005 proceeded to RETURN on ORD01220 even though delivery status was unavailable, skipping a required data dependency.",CONFIRMED,2026-05-11 09:55:36
INV0010,INC0010,MISSING_INFORMATION,HIGH,"ACT000778,ACT000779,ACT000780","A001 proceeded to CANCEL_ORDER on ORD01221 even though delivery status was unavailable, skipping a required data dependency.",CLOSED,2026-05-22 21:52:46
INV0011,INC0011,MISSING_INFORMATION,HIGH,"ACT000781,ACT000782,ACT000783","A006 proceeded to CANCEL_ORDER on ORD01222 even though delivery status was unavailable, skipping a required data dependency.",CONFIRMED,2026-06-24 05:57:21
INV0012,INC0012,MISSING_INFORMATION,HIGH,"ACT000784,ACT000785,ACT000786","A005 proceeded to CANCEL_ORDER on ORD01223 even though delivery status was unavailable, skipping a required data dependency.",CLOSED,2026-06-17 05:44:21
INV0013,INC0013,MISSING_INFORMATION,HIGH,"ACT000787,ACT000788,ACT000789","A009 proceeded to CANCEL_ORDER on ORD01224 even though delivery status was unavailable, skipping a required data dependency.",CONFIRMED,2026-06-27 20:09:32
INV0014,INC0014,MISSING_INFORMATION,HIGH,"ACT000790,ACT000791,ACT000792","A001 proceeded to RETURN on ORD01225 even though delivery status was unavailable, skipping a required data dependency.",CONFIRMED,2026-07-02 07:40:40
INV0015,INC0015,MISSING_INFORMATION,HIGH,"ACT000793,ACT000794,ACT000795","A001 proceeded to REFUND on ORD01226 even though delivery status was unavailable, skipping a required data dependency.",OPEN,2026-06-25 11:11:55
INV0016,INC0016,INCORRECT_SEQUENCE,HIGH,"ACT000796,ACT000797,ACT000798","A001 issued a refund on ORD01227 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",CLOSED,2026-05-29 07:24:56
INV0017,INC0017,INCORRECT_SEQUENCE,HIGH,"ACT000799,ACT000800,ACT000801","A001 issued a refund on ORD01228 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",CONFIRMED,2026-05-08 02:12:15
INV0018,INC0018,INCORRECT_SEQUENCE,HIGH,"ACT000802,ACT000803,ACT000804","A006 issued a refund on ORD01229 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",CONFIRMED,2026-07-11 10:38:34
INV0019,INC0019,INCORRECT_SEQUENCE,HIGH,"ACT000805,ACT000806,ACT000807","A002 issued a refund on ORD01230 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",CLOSED,2026-06-27 15:52:25
INV0020,INC0020,INCORRECT_SEQUENCE,HIGH,"ACT000808,ACT000809,ACT000810","A001 issued a refund on ORD01231 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",CONFIRMED,2026-05-31 08:55:45
INV0021,INC0021,INCORRECT_SEQUENCE,HIGH,"ACT000811,ACT000812,ACT000813","A001 issued a refund on ORD01232 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",OPEN,2026-06-13 13:13:57
INV0022,INC0022,INCORRECT_SEQUENCE,HIGH,"ACT000814,ACT000815,ACT000816","A002 issued a refund on ORD01233 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",OPEN,2026-07-15 21:27:39
INV0023,INC0023,INCORRECT_SEQUENCE,HIGH,"ACT000817,ACT000818,ACT000819","A002 issued a refund on ORD01234 without a preceding CHECK_DELIVERY / CALCULATE_REFUND step, violating the standard verification sequence.",CLOSED,2026-06-12 16:21:38
INV0024,INC0024,DUPLICATE_ACTION,HIGH,"ACT000820,ACT000821,ACT000822","A004 executed REFUND twice for order ORD01235 referencing the same amount (1118.73), indicating a duplicate business action was not caught.",CONFIRMED,2026-07-14 13:19:43
INV0025,INC0025,DUPLICATE_ACTION,HIGH,"ACT000823,ACT000824,ACT000825","A001 executed PAYMENT twice for order ORD01236 referencing the same amount (290.34), indicating a duplicate business action was not caught.",CLOSED,2026-06-29 22:04:36
INV0026,INC0026,DUPLICATE_ACTION,HIGH,"ACT000826,ACT000827,ACT000828","A004 executed REFUND twice for order ORD01237 referencing the same amount (1139.49), indicating a duplicate business action was not caught.",CONFIRMED,2026-06-25 05:34:47
INV0027,INC0027,DUPLICATE_ACTION,HIGH,"ACT000829,ACT000830,ACT000831","A001 executed PAYMENT twice for order ORD01238 referencing the same amount (1108.46), indicating a duplicate business action was not caught.",OPEN,2026-06-09 08:35:17
INV0028,INC0028,DUPLICATE_ACTION,HIGH,"ACT000832,ACT000833,ACT000834","A004 executed PAYMENT twice for order ORD01239 referencing the same amount (1101.78), indicating a duplicate business action was not caught.",CONFIRMED,2026-06-18 06:53:35
INV0029,INC0029,DUPLICATE_ACTION,HIGH,"ACT000835,ACT000836,ACT000837","A009 executed REFUND twice for order ORD01240 referencing the same amount (889.36), indicating a duplicate business action was not caught.",CONFIRMED,2026-05-07 10:31:01
INV0030,INC0030,POLICY_GAP,MEDIUM,"ACT000838,ACT000839","A003 changed customer contact information without any identity-verification policy in place on ORD01241. No existing policy (P001-P008) covers this behavior, indicating a gap in the current rule set.",CONFIRMED,2026-06-26 07:09:47
INV0031,INC0031,POLICY_GAP,MEDIUM,"ACT000840,ACT000841","A010 sent an unusually high volume of messages to the same customer with no messaging rate-limit policy on ORD01242. No existing policy (P001-P008) covers this behavior, indicating a gap in the current rule set.",CONFIRMED,2026-07-09 04:46:37
INV0032,INC0032,POLICY_GAP,MEDIUM,"ACT000842,ACT000843","A003 changed customer contact information without any identity-verification policy in place on ORD01243. No existing policy (P001-P008) covers this behavior, indicating a gap in the current rule set.",CONFIRMED,2026-06-24 03:20:47
INV0033,INC0033,POLICY_GAP,MEDIUM,"ACT000844,ACT000845","A008 cancelled an order within minutes of placement with no minimum-cooldown policy defined on ORD01244. No existing policy (P001-P008) covers this behavior, indicating a gap in the current rule set.",CLOSED,2026-06-12 13:51:51
INV0034,INC0034,POLICY_GAP,MEDIUM,"ACT000846,ACT000847","A010 applied an unusually large discount with no policy limiting maximum discount percentage on ORD01245. No existing policy (P001-P008) covers this behavior, indicating a gap in the current rule set.",CLOSED,2026-06-07 10:24:52
INV0035,INC0035,POLICY_GAP,MEDIUM,"ACT000848,ACT000849","A003 applied an unusually large discount with no policy limiting maximum discount percentage on ORD01246. No existing policy (P001-P008) covers this behavior, indicating a gap in the current rule set.",CONFIRMED,2026-06-20 01:33:53
